,datetime,nav,cash_position,margin_requirement
0,1970-06-30,99.60000000000001,99.60000000000001,99.99999999999997
0,1970-07-31,109.44141535461083,109.44141535461083,109.88093911105504
0,1970-08-31,105.2037485377731,105.2037485377731,105.62625355198102
0,1970-09-30,95.6974248136362,95.6974248136362,96.08175182091989
0,1970-10-30,101.49181070445883,101.49181070445881,101.89940833781003
0,1970-11-30,103.80055648120268,103.80055648120265,104.21742618594644
0,1970-12-31,102.49035603259048,102.49035603259047,102.90196388814306
0,1971-01-29,98.23471749943504,98.23471749943502,98.62923443718375
0,1971-02-26,99.57288201637337,99.57288201637334,99.97277310880861
0,1971-03-31,97.239100155002,97.239100155002,97.62961862952008
0,1971-04-30,98.97783532324841,98.9778353232484,99.37533666992813
0,1971-05-28,99.69486671061013,99.69486671061013,100.09524770141579
0,1971-06-30,102.43619656693082,102.43619656693082,102.84758691458917
0,1971-07-30,101.0637304433762,101.06373044337622,101.46960887889175
0,1971-08-31,101.11489229895275,101.11489229895277,101.52097620376784
0,1971-09-30,103.60485721174994,103.60485721174994,104.02094097565254
0,1971-10-29,100.99400013418636,100.99400013418636,101.39959852829955
0,1971-11-30,100.99805000510837,100.99805000510835,101.40366466376342
0,1971-12-31,102.00063632129684,102.00063632129684,102.41027743102092
0,1972-01-31,100.67486441222428,100.67486441222427,101.07918113677135
0,1972-02-29,106.82804808696939,106.82804808696939,107.25707639253957
0,1972-03-30,106.26346567792167,106.26346567792167,106.69022658425871
0,1972-04-28,105.72004724369748,105.7200472436975,106.14462574668423
0,1972-05-31,111.32510844916476,111.32510844916476,111.7721972381172
0,1972-06-30,114.13411333756406,114.13411333756409,114.59248327064662
0,1972-07-31,114.28680900660693,114.28680900660693,114.74579217530817
0,1972-08-31,108.52124785769074,108.52124785769074,108.95707616234009
0,1972-09-29,108.81613524900654,108.81613524900655,109.25314784036803
0,1972-10-31,107.91610862404448,107.91610862404451,108.3495066506471
0,1972-11-30,102.96323530584556,102.96323530584557,103.37674227494537
0,1972-12-29,107.52311549344566,107.52311549344567,107.95493523438313
0,1973-01-31,110.46046154127681,110.46046154127683,110.90407785268756
0,1973-02-28,110.62507559445712,110.62507559445713,111.06935300648303
0,1973-03-30,109.08289819055369,109.0828981905537,109.52098211902981
0,1973-04-30,105.92606245458066,105.92606245458069,106.35146832789223
0,1973-05-31,107.73713799722361,107.73713799722364,108.16981726628875
0,1973-06-29,103.73139101981002,103.73139101981002,104.14798295161646
0,1973-07-31,103.17307374921027,103.17307374921029,103.58742344298219
0,1973-08-31,100.33491271988223,100.33491271988223,100.73786417658853
0,1973-09-28,94.69494560815355,94.69494560815357,95.07524659453169
0,1973-10-31,91.90112529089605,91.90112529089606,92.2702061153575
0,1973-11-30,89.95738071720875,89.95738071720876,90.31865533856302
0,1973-12-31,82.96823375320866,82.96823375320868,83.30143951125368
0,1974-01-31,81.3009781702531,81.3009781702531,81.62748812274407
0,1974-02-28,79.15552684195546,79.15552684195549,79.47342052405168
0,1974-03-29,80.93628581407773,80.93628581407775,81.26133113863224
0,1974-04-30,84.67706212426756,84.67706212426761,85.01713064685501
0,1974-05-31,94.05955358429702,94.05955358429705,94.43730279547894
0,1974-06-28,100.1147311528295,100.11473115282955,100.51679834621439
0,1974-07-31,90.67185175220276,90.6718517522028,91.03599573514335
0,1974-08-30,90.24175604866184,90.24175604866187,90.6041727396203
0,1974-09-30,79.71759590711768,79.7175959071177,80.03774689469645
0,1974-10-31,79.60133188090484,79.60133188090487,79.92101594468357
0,1974-11-29,76.73623505284479,76.73623505284482,77.04441270365945
0,1974-12-31,75.3975678618138,75.39756786181383,75.70036933917049
0,1975-01-31,67.38955749732648,67.3895574973265,67.66019829048845
0,1975-02-28,75.71810081288677,75.7181008128868,76.02218957117145
0,1975-03-31,77.97993528495766,77.97993528495769,78.29310771582095
0,1975-04-30,78.11372868684275,78.11372868684278,78.42743844060519
0,1975-05-30,78.7276370665526,78.72763706655263,79.04381231581584
0,1975-06-30,73.21558895285543,73.21558895285546,73.50962746270622
0,1975-07-31,71.19548492859451,71.19548492859454,71.48141057087803
0,1975-08-29,71.80631017972772,71.80631017972776,72.0946889354696
0,1975-09-30,73.57903112549388,73.57903112549391,73.87452924246375
0,1975-10-31,76.06352584082609,76.06352584082612,76.36900184821893
0,1975-11-28,74.57355801002083,74.57355801002086,74.87305021086426
0,1975-12-31,70.5011074661806,70.50110746618063,70.78424444395642
0,1976-01-30,69.40624644939852,69.40624644939855,69.68498639497844
0,1976-02-27,66.94359960466227,66.94359960466228,67.21244940227135
0,1976-03-31,66.38140824403735,66.38140824403737,66.64800024501743
0,1976-04-30,64.60175605403157,64.6017560540316,64.86120085746141
0,1976-05-28,64.07328820155638,64.07328820155641,64.3306106441329
0,1976-06-30,62.37048735631912,62.37048735631914,62.62097124128425
0,1976-07-30,60.944961007510855,60.94496100751088,61.189719887059084
0,1976-08-31,61.821574833470905,61.821574833470926,62.0698542504728
0,1976-09-30,62.300311453272656,62.300311453272684,62.55051350730187
