,datetime,nav,cash_position,margin_requirement
0,1971-08-31,100.0,100.0,0.0
0,1971-09-30,100.0,100.0,0.0
0,1971-10-29,100.0,100.0,0.0
0,1971-11-30,100.0,100.0,100.0
0,1971-12-31,102.66,102.66,102.66000000000001
0,1972-01-31,110.76841824514284,110.76841824514284,110.76841824514285
0,1972-02-29,111.10813667626934,111.10813667626934,111.10813667626934
0,1972-03-30,108.5464286717724,108.54642867177242,108.54642867177246
0,1972-04-28,107.77801403034778,107.77801403034779,107.77801403034778
0,1972-05-31,100.81115633756406,100.81115633756407,100.81115633756406
0,1972-06-30,99.90120523159011,99.90120523159013,99.90120523159008
0,1972-07-31,98.8602616734027,98.8602616734027,98.8602616734027
0,1972-08-31,102.65957027579938,102.65957027579941,102.65957027579941
0,1972-09-29,100.82263293251334,100.82263293251336,100.82263293251334
0,1972-10-31,101.72016118127002,101.72016118127003,101.72016118127002
0,1972-11-30,106.44710873354774,106.44710873354774,106.44710873354776
0,1972-12-29,100.85428893476318,100.85428893476319,100.85428893476319
0,1973-01-31,103.61652394312459,103.61652394312459,103.61652394312458
0,1973-02-28,105.05935308043703,105.05935308043703,105.05935308043702
0,1973-03-30,107.46705528889862,107.46705528889862,107.46705528889865
0,1973-04-30,113.53419374535227,113.53419374535227,113.53419374535228
0,1973-05-31,109.06293146793938,109.06293146793938,109.06293146793934
0,1973-06-29,108.32251292068631,108.32251292068632,108.32251292068634
0,1973-07-31,103.86049970577977,103.86049970577977,103.86049970577974
0,1973-08-31,101.61242299634443,101.61242299634445,101.61242299634446
0,1973-09-28,104.04033111080187,104.04033111080187,104.04033111080186
0,1973-10-31,105.53372380994226,105.53372380994226,105.53372380994224
0,1973-11-30,102.54270441155829,102.5427044115583,102.54270441155833
0,1973-12-31,99.5808392894306,99.5808392894306,99.58083928943059
0,1974-01-31,118.96826231230143,118.96826231230145,118.96826231230143
0,1974-02-28,124.68227405160266,124.68227405160266,124.6822740516027
0,1974-03-29,128.1060864498585,128.1060864498585,128.10608644985848
0,1974-04-30,130.78800399884176,130.78800399884176,130.78800399884173
0,1974-05-31,126.28287040061886,126.28287040061888,126.28287040061883
0,1974-06-28,125.57544169144288,125.57544169144289,125.57544169144288
0,1974-07-31,134.99061100087096,134.99061100087096,134.99061100087093
0,1974-08-30,142.69954120794893,142.69954120794893,142.69954120794895
0,1974-09-30,154.45772322906788,154.45772322906788,154.4577232290679
0,1974-10-31,133.08896939678596,133.08896939678596,133.08896939678596
0,1974-11-29,132.23993473451515,132.23993473451515,132.2399347345152
0,1974-12-31,128.3115037640273,128.3115037640273,128.3115037640273
0,1975-01-31,155.19042867119185,155.19042867119185,155.19042867119185
0,1975-02-28,141.76397050132545,141.76397050132545,141.76397050132545
0,1975-03-31,146.08089432021768,146.08089432021765,146.08089432021762
0,1975-04-30,137.2528007879677,137.2528007879677,137.25280078796766
0,1975-05-30,138.46943498315332,138.46943498315332,138.46943498315335
0,1975-06-30,143.9086294554418,143.9086294554418,143.90862945544183
0,1975-07-31,151.90523541658294,151.90523541658294,151.9052354165829
0,1975-08-29,147.81757493116473,147.81757493116473,147.8175749311647
0,1975-09-30,152.46059852477828,152.46059852477828,152.46059852477828
0,1975-10-31,146.55056864225156,146.55056864225156,146.55056864225153
0,1975-11-28,148.5413288485946,148.5413288485946,148.54132884859462
